Test-Nr.;OCEAN-Dimension;Testname;Setting & Durchführung (Praxisform);Material;Dauer;Rolle der Figurant:in;Beobachtungskriterien (Checkliste);Bewertungsskala (-2 bis +2, mit Ankern);Score (-2..2)
1;Extraversion (E);Begrüßung & Annäherung;Die Figurant:in nähert sich dem Hund an.;-;1 min;Nähert sich ruhig dem Hund, spricht ihn freundlich an.;Anlehnung: Sucht der Hund direkten Kontakt/Körpernähe? Aufforderung: Fordert er aktiv zur Interaktion auf (z.B. durch Anstupsen)?;-2: Zieht sich stark zurück, meidet Blickkontakt. +2: Sehr enthusiastisch, springt, sucht maximalen Kontakt.;
2;Extraversion (E);Spontanes Spielangebot;Die Figurant:in bietet kurz ein Spielzeug an (zieht es zurück, wenn der Hund annimmt).;Diverses Spielzeug;1 min;Zeigt das Spielzeug kurz, lädt zum Spiel ein.;Reaktion: Wie schnell reagiert der Hund auf das Spielangebot? Intensität: Wie stark ist die Erregung/Bereitschaft zum Spiel?;-2: Zeigt kein Interesse. +2: Sofortige, hohe Erregung und Spielmotivation.;
3;Extraversion (E);Orientierung im Gelände;Hund wird kurz abgeleint. Figurant:in wartet abseits.;-;1.5 min;Wartet ruhig 10m entfernt.;Distanz: Wie weit entfernt sich der Hund von der Figurant:in? Erkundung: Wie aktiv/schnell erkundet er das Areal?;-2: Bleibt nah (innerhalb 3m), wenig Bewegung. +2: Weit entfernt (über 10m), hohe Bewegungsaktivität.;
4;Extraversion (E);Reaktion auf Stoffhund;Der Stoffhund wird vorab aufgestellt. Der Hund wird darauf aufmerksam gemacht.;Stoffhund;1 min;Zeigt auf den Stoffhund, bleibt aber passiv.;Annäherung: Nähert sich der Hund dem Stoffhund? Art der Interaktion: Bellt, knurrt, oder stupst er ihn an?;-2: Meidet den Bereich. +2: Direkte, offensive Interaktion/Erkundung des Stoffhunds.;
5;Extraversion (E);Geräuschanalyse;Plötzliches, einmaliges, lautes Geräusch (Blechtopf).;Pfeife/Blechtopf;1 min;Produziert ein lautes Geräusch (z.B. Blechtopf fallen lassen), bleibt neutral.;Schreckreaktion: Wie stark ist die Reaktion (Zusammenzucken, Flucht)? Erholung: Wie schnell kehrt der Hund zum Ausgangspunkt/Figurant:in zurück?;-2: Flucht, lange anhaltende Angst. +2: Ignoriert das Geräusch, setzt Verhalten fort.;
6;Extraversion (E);Reaktion auf Rollator;Figurant:in schiebt den Rollator kurz hin und her (ungewöhnliches Objekt/Geräusch).;Rollator;1 min;Schiebt den Rollator ruhig, achtet nicht auf den Hund.;Neugier: Zeigt der Hund Neugier gegenüber dem Rollator? Meideverhalten: Ist der Hund abgelenkt oder irritiert?;-2: Vermeidet das Objekt, stark abgelenkt. +2: Zeigt Neugier, folgt dem Rollator.;
7;Extraversion (E);Team-Spiel (Futter-Wettbewerb);Kurzes Ziehen an einem Spielzeug (Tau oder Ball).;Diverses Spielzeug;1 min;Bietet kurzes, motivierendes Zerrspiel an.;"Motivation: Wie stark ist der ""Willen zu gewinnen"" (Zugkraft)? Durchhaltevermögen: Lässt er leicht los oder hält er fest?";-2: Lässt sofort los, zeigt kein Interesse. +2: Hält sehr stark fest, hohe Erregung.;
8;Agreeableness (A);Futterteilung;Hund erhält eine kleine Futterportion. Figurant:in greift langsam danach.;Hundefutter;1 min;Greift nach dem Futter, bevor der Hund es ganz gefressen hat.;Toleranz: Lässt der Hund die Nähe beim Fressen zu? Ressourcenverteidigung: Knurren, Zähne zeigen, Wegdrängen?;-2: Knurrt/verteidigt die Ressource aggressiv. +2: Toleriert die Nähe ohne Anzeichen von Aggression.;
9;Agreeableness (A);Tausch-Bereitschaft;Hund hält ein Spielzeug. Figurant:in bietet besseres Futter zum Tausch.;Diverses Spielzeug, Hundefutter;1 min;Bietet Futtertausch an, ohne Druck auszuüben.;Akzeptanz: Tauscht der Hund das Spielzeug gegen das Futter? Fokus: Wie stark ist die Bindung an das Spielzeug vs. Futter?;-2: Ignoriert das Futter, hält das Spielzeug fest. +2: Lässt das Spielzeug sofort los für das Futter.;
10;Agreeableness (A);Toleranz beim Abwischen;Hund wird nach dem Laufen kurz mit einem Tuch abgerieben (simuliert Grooming).;-;1 min;Reibt den Hund sanft ab, prüft die Toleranz.;Geduld: Wie geduldig erträgt der Hund die Berührung? Meideverhalten: Versucht er, sich zu entziehen (Wegdrehen, Ducken)?;-2: Weicht stark aus, zeigt Stresszeichen (Lippenlecken). +2: Bleibt entspannt, toleriert die Berührung.;
11;Agreeableness (A);Fremdobjekt-Akzeptanz;Die Figurant:in geht mit Krücken (ungewöhnliche Bewegung).;Krücken;1.5 min;Bewegt sich mit den Krücken ungewohnt, aber nicht bedrohlich.;Irritation: Wie stark ist die Irritation durch die ungewohnte Bewegung? Reaktion: Bellt, knurrt oder zeigt der Hund Beschwichtigungssignale?;-2: Zeigt deutliche aggressive oder ängstliche Reaktion. +2: Bleibt ruhig, zeigt keine negativen Reaktionen.;
12;Agreeableness (A);Nähe zur Figurant:in (Passivität);Figurant:in legt sich auf den Boden und ignoriert den Hund.;-;1.5 min;Legt sich auf den Boden (passiv, nicht bedrohlich), wartet 1.5 min.;Nähe: Sucht der Hund die Nähe zur Figurant:in? Beschäftigung: Versucht der Hund, die Figurant:in zu reaktivieren (Anstupsen)?;-2: Ignoriert Figurant:in komplett, entfernt sich. +2: Bleibt in enger Nähe (innerhalb 2m), sucht sanften Kontakt.;
13;Agreeableness (A);Verträglichkeit mit Reizobjekt;Der Hund wird zwischen zwei Pylonen hindurchgeführt.;Pylonen;1 min;Führt den Hund ruhig durch die Pylonen.;Durchgang: Geht der Hund zögerlich oder freiwillig durch die Engstelle? Ausweichen: Versucht der Hund, einen großen Bogen zu gehen?;-2: Starkes Zögern, weigert sich oder geht nur mit Zwang. +2: Geht ohne Zögern oder Angst hindurch.;
14;Agreeableness (A);Bindung/Folgebereitschaft;Wechselnde kurze Richtungsänderungen auf Kommando.;-;1 min;Gibt Kommandos für Richtungswechsel.;Kooperation: Wie schnell und präzise folgt der Hund den Anweisungen? Blickkontakt: Wie häufig sucht der Hund Blickkontakt zur Figurant:in?;-2: Ignoriert Anweisungen, ist abgelenkt. +2: Sehr aufmerksam, folgt präzise den Anweisungen.;
15;Conscientiousness (C);Konzentration auf Futteraufgabe;Futter wird unter einem Pylonen versteckt.;Pylonen, Hundefutter;1.5 min;Versteckt Futter unter einem Pylonen, lenkt den Hund nicht ab.;Lösung: Wie direkt löst der Hund die Aufgabe? Frustrationstoleranz: Gibt er schnell auf oder versucht er es beharrlich?;-2: Gibt schnell auf, wechselt die Aufgabe. +2: Zeigt hohe Ausdauer und konzentriertes Lösungsverhalten.;
16;Conscientiousness (C);Impulskontrolle I (Wartezeit);Hund muss warten (Sitz/Platz) für 30 Sekunden, Figurant:in entfernt sich 5 Meter.;-;1 min;Gibt ein Wartekommando, entfernt sich 5m, bleibt passiv.;Einhalten: Hält der Hund die Position zuverlässig? Korrigieren: Muss die Figurant:in das Kommando wiederholen?;-2: Bricht sofort ab, läuft zur Figurant:in. +2: Hält die Position über die gesamte Zeit zuverlässig ein.;
17;Conscientiousness (C);Impulskontrolle II (Ablenkung);Während des Wartens wird Spielzeug gerollt.;Diverses Spielzeug;1 min;Rollt ein Spielzeug am wartenden Hund vorbei (lockt, aber interagiert nicht).;Ablenkung: Ist der Hund durch das Spielzeug abgelenkt? Kontrolle: Unterdrückt er den Impuls, das Spielzeug zu verfolgen?;-2: Bricht ab und verfolgt das Spielzeug. +2: Bleibt konzentriert in der Position, ignoriert das Spielzeug.;
18;Conscientiousness (C);Problemlösung (Stangen-Labyrinth);Ein einfacher Parcours aus Stangen (niedrige Hürde) muss absolviert werden.;Stangen;1.5 min;Führt den Hund durch den Stangen-Parcours (keine hohe Herausforderung).;Planung: Wie effizient ist der Weg durch das Labyrinth? Lernfähigkeit: Erkennt er nach dem 1. Durchgang das Prinzip?;-2: Läuft ziellos, muss stark korrigiert werden. +2: Läuft zielgerichtet, zeigt einen effizienten Lösungsweg.;
19;Conscientiousness (C);Zielorientierte Suche;Futter wird in der Nähe versteckt, der Hund soll es suchen.;Hundefutter, Pylonen;1 min;Versteckt Futter hinter einem Pylonen, gibt Suchkommando.;Beharrlichkeit: Wie lange sucht der Hund aktiv, bevor er aufgibt? Strategie: Sucht er systematisch oder zufällig?;-2: Gibt schnell auf, sucht nur oberflächlich. +2: Sucht konzentriert und beharrlich bis zum Fund.;
20;Conscientiousness (C);Genauigkeit der Ausführung;Eine bekannte Übung (z.B. Apportieren/Fuß-Laufen) wird verlangt.;Diverses Spielzeug;1 min;Gibt das Kommando für eine bekannte Übung.;Präzision: Wie exakt wird das Kommando ausgeführt? Zuverlässigkeit: Wird die Übung sofort ausgeführt?;-2: Führt unsauber oder gar nicht aus, ist unaufmerksam. +2: Führt sehr präzise und zuverlässig aus.;
21;Conscientiousness (C);Aufmerksamkeit/Fokus;Die Figurant:in spricht den Hund mit wechselnder Stimme an, während Stangen auf dem Boden liegen.;Stangen;1 min;Spricht den Hund an, während er an den Stangen vorbeigeht.;Ablenkbarkeit: Wie stark ist der Hund durch Stangen abgelenkt? Fokuswechsel: Wie schnell reagiert er auf die Ansprache?;-2: Lässt sich stark von der Umgebung ablenken, ignoriert Ansprache. +2: Hält den Fokus auf die Figurant:in, ist aufmerksam.;
22;Openness (O);Erkundung ungewohnter Untergründe;Hund muss über verschiedene Untergründe gehen (Sand, Holz, Kunststoff).;Verschiedene Untergründe;1.5 min;Führt den Hund über die Untergründe, aber zwingt ihn nicht.;Neugier: Zeigt der Hund Neugier für die Untergründe (Riechen, Tasten)? Vermeidung: Meidet er einen Untergrund aktiv?;-2: Meidet alle ungewohnten Untergründe, geht widerwillig. +2: Erkundet alle Untergründe aktiv und ohne Zögern.;
23;Openness (O);Reaktion auf neues Objekt;Der Schirm wird plötzlich geöffnet.;Schirm;1 min;Öffnet den Schirm langsam und kontrolliert.;Schreck/Neugier: Wie stark ist die Schreckreaktion? Geht er zur Erkundung? Meidezeit: Wie lange meidet er den geöffneten Schirm?;-2: Starke Angst, hält großen Abstand zum Schirm. +2: Geht neugierig an den geöffneten Schirm, untersucht ihn.;
24;Openness (O);Spiel mit unkonventionellem Objekt;Die Figurant:in bietet eine Pylone zum Rollen/Jagen an.;Pylonen;1 min;Rollt einen Pylonen, lädt zum Spiel ein.;Annahme: Nimmt der Hund den Pylonen als Spielzeug an? Kreativität: Versucht er, ihn auf ungewöhnliche Weise zu bewegen/spielen?;-2: Zeigt keinerlei Spielinteresse an dem unkonventionellen Objekt. +2: Nimmt den Pylonen aktiv als Spielzeug an.;
25;Openness (O);Anpassung an Führungswechsel;Die Figurant:in wechselt abrupt die Art der Führung (z.B. von Stimme zu Handzeichen).;-;1 min;Wechselt die Kommunikationsmethode abrupt und ohne Wiederholung.;Flexibilität: Wie schnell passt sich der Hund der neuen Kommunikationsform an? Irritation: Zeigt der Hund Zeichen von Verwirrung?;-2: Ist irritiert, reagiert gar nicht auf die neue Führung. +2: Passt sich sehr schnell und reibungslos an.;
26;Openness (O);"Untersuchung eines ""Verstecks""";Ein attraktiver Geruch (Futter) wird hinter einem Stoffhund oder Rollator platziert.;Stoffhund/Rollator, Hundefutter;1.5 min;Platziert Futter hinter/unter einem Objekt.;Ausdauer: Wie beharrlich versucht er, das Futter zu erreichen? Methodik: Probiert er verschiedene Lösungswege?;-2: Gibt schnell auf, wenn die Lösung nicht offensichtlich ist. +2: Zeigt hohe Ausdauer und Kreativität bei der Problemlösung.;
27;Openness (O);Reaktion auf unklare Situation;Die Figurant:in bewegt sich in einem ungewohnten, zögerlichen Gangmuster.;-;1 min;Bewegt sich ungenau (z.B. im Zick-Zack), gibt keine klaren Signale.;Verunsicherung: Wie stark ist der Hund verunsichert? Initiative: Übernimmt der Hund die Führung oder bleibt er in Lauerstellung?;-2: Ist stark verunsichert, erstarrt oder meidet die Figurant:in. +2: Bleibt entspannt, zeigt aktive, neugierige Beobachtung.;
28;Openness (O);Interaktion mit Pylonen-Weg;Ein Weg aus Pylonen wird aufgebaut. Hund soll an der Seite entlang.;Pylonen;1 min;Führt den Hund an einer Reihe von Pylonen entlang.;Neuheit: Ist der Hund neugierig auf die Struktur? Präferenz: Geht er den bekannten Weg oder erkundet er die Pylonen-Reihe?;-2: Ignoriert die Pylonen, zeigt kein Interesse. +2: Zeigt aktives Interesse an den Pylonen und untersucht sie.;
29;Neuroticism (N);Ablenkung durch Schatten/Licht;Die Figurant:in erzeugt mit dem Schirm (oder Stange) einen abrupten Schatten.;Schirm (oder Stange);1 min;Erzeugt eine plötzliche, große Schatten-Veränderung.;Schreck: Wie stark ist die Schreckreaktion? Erholungszeit: Wie lange benötigt der Hund, um sich zu beruhigen?;-2: Zeigt keine Reaktion (sehr stabil). +2: Starke Schreckreaktion, lange Erholungszeit (sehr instabil/ängstlich).;
30;Neuroticism (N);Plötzliche Annäherung;Die Figurant:in läuft abrupt auf den Hund zu und stoppt 1 Meter vor ihm.;-;1 min;Läuft schnell und abrupt, stoppt vor dem Hund (nicht bedrohlich).;Stressreaktion: Zeigt der Hund Stress (Gähnen, Lippenlecken, Ohren anlegen)? Meideverhalten: Versucht der Hund auszuweichen?;-2: Bleibt entspannt stehen (sehr stabil). +2: Starkes Ausweichen, Angststarre oder panische Flucht.;
31;Neuroticism (N);Geräusch an Krücken;Kurzes, leises Klopfen mit den Krücken auf den Boden.;Krücken;1 min;Klopft zweimal leicht auf den Boden, bleibt passiv.;Sensibilität: Wie empfindlich reagiert der Hund auf das leise Klopfen? Angstreaktion: Zeigt er Hecheln, Zittern oder winseln?;-2: Ignoriert das Geräusch (sehr stabil). +2: Deutliche Angstreaktion, Suche nach Schutz (sehr instabil/ängstlich).;
32;Neuroticism (N);Unsichere Führung;Die Figurant:in versteckt sich kurz (hinter einem Baum/Pylonen) und taucht dann wieder auf.;Pylonen (als Abgrenzung);1.5 min;Versteckt sich 10 Sekunden, ohne den Hund zu rufen.;Trennungsstress: Winseln, Bellen, hektische Suche? Selbstsicherheit: Bleibt der Hund ruhig oder gerät er in Panik?;-2: Bleibt ruhig, wartet oder erkundet die Nähe (sehr stabil). +2: Panische Suche, lautes Winseln/Bellen (sehr instabil/ängstlich).;
33;Neuroticism (N);Schreckhafter Stoffhund;Der Stoffhund wird plötzlich leicht bewegt (mit einer langen Stange).;Stoffhund, Stangen;1 min;Bewegt den Stoffhund unvorhersehbar, ohne Geräusche.;Erschrecken: Zieht der Hund sich sofort zurück? Beobachtung: Beobachtet er die Bewegung aus sicherer Entfernung?;-2: Beobachtet die Bewegung ohne Zeichen von Angst (sehr stabil). +2: Deutliche Flucht/Vermeidung des Stoffhunds (sehr instabil/ängstlich).;
34;Neuroticism (N);Stangen-Reaktion (Überwindung);Der Hund muss über am Boden liegende Stangen laufen.;Stangen;1 min;Geht ruhig über die Stangen (keine Hürden, nur Ablenkung).;Vermeidung: Versucht der Hund, über die Stangen zu springen (als ob sie gefährlich wären)? Anspannung: Geht er angespannt oder entspannt über die Stangen?;-2: Geht entspannt und freiwillig über alle Stangen (sehr stabil). +2: Springt ängstlich über die Stangen, zeigt hohe Anspannung.;
35;Neuroticism (N);Abschluss und Entspannung;Nach den Tests: Figurant:in bietet eine ruhige, passive Entspannungsphase an.;-;2 min;Setzt sich ruhig hin, spricht leise und entspannt.;Beruhigung: Sucht der Hund aktiv die Nähe/Anlehnung zum Beruhigen? Nachhall: Zeigt der Hund noch Stresszeichen (Hecheln, Zittern)?;-2: Entspannt sofort, sucht Nähe/legt sich ab (sehr stabil). +2: Bleibt hektisch, hechelt, ist nicht ansprechbar (sehr instabil/ängstlich).;
